,CompanyName,CompanyNumber,RegAddress.CareOf,RegAddress.POBox,RegAddress.AddressLine1,RegAddress.AddressLine2,RegAddress.PostTown,RegAddress.County,RegAddress.Country,RegAddress.PostCode,CompanyCategory,CompanyStatus,CountryOfOrigin,DissolutionDate,IncorporationDate,Accounts.AccountRefDay,Accounts.AccountRefMonth,Accounts.NextDueDate,Accounts.LastMadeUpDate,Accounts.AccountCategory,Returns.NextDueDate,Returns.LastMadeUpDate,Mortgages.NumMortCharges,Mortgages.NumMortOutstanding,Mortgages.NumMortPartSatisfied,Mortgages.NumMortSatisfied,SICCode.SicText_1,SICCode.SicText_2,SICCode.SicText_3,SICCode.SicText_4,LimitedPartnerships.NumGenPartners,LimitedPartnerships.NumLimPartners,URI,PreviousName_1.CONDATE,PreviousName_1.CompanyName,PreviousName_2.CONDATE,PreviousName_2.CompanyName,PreviousName_3.CONDATE,PreviousName_3.CompanyName,PreviousName_4.CONDATE,PreviousName_4.CompanyName,PreviousName_5.CONDATE,PreviousName_5.CompanyName,PreviousName_6.CONDATE,PreviousName_6.CompanyName,PreviousName_7.CONDATE,PreviousName_7.CompanyName,PreviousName_8.CONDATE,PreviousName_8.CompanyName,PreviousName_9.CONDATE,PreviousName_9.CompanyName,PreviousName_10.CONDATE,PreviousName_10.CompanyName,ConfStmtNextDueDate,ConfStmtLastMadeUpDate,CompanyNumberFromURI,record_found,ConfStmtIsfDue,non_null_count
0,Bulldog Service Station Limited,00631975,,,James Cowper Kreston 8th Floor South,"Reading Bridge House, George Street",Reading,,England,RG1 8LS,Private Limited Company,Active,England,,2024-03-01,28,2,2025-11-30,2024-02-29,FULL,2017-04-06,2016-03-09,19,4,0,15,45111 - Sale of new cars and light motor vehicles,,,,0,0,http://business.data.gov.uk/id//company/00631975,,,,,,,,,,,,,,,,,,,,,2026-03-14,2025-02-28,00631975,True,False,31
1,Airlite Finance Limited,00636494,,,93 Regent Street,Cambridge,,,,CB2 1AW,Private Limited Company,Active,United Kingdom,,2023-10-01,30,9,2025-06-30,2023-09-30,FULL,2017-02-28,2016-01-31,0,0,0,0,64999 - Financial intermediation not elsewhere classified,,,,0,0,http://business.data.gov.uk/id//company/00636494,1985-07-01,AIRLITE BUILDING BLOCKS LIMITED ,,,,,,,,,,,,,,,,,,,2026-02-14,2025-01-31,00636494,True,False,31
2,Bulldog Remoulds Limited,00932731,,,Athena Drive,Tachbrook Park,Warwick,Warwickshire,,CV34 6UX,Private Limited Company,Active,United Kingdom,,2024-01-01,31,12,2025-09-30,2023-12-31,SMALL,2016-09-30,2015-09-02,5,0,0,5,22110 - Manufacture of rubber tyres and tubes; retreading and rebuilding of rubber tyres,,,,0,0,http://business.data.gov.uk/id//company/00932731,,,,,,,,,,,,,,,,,,,,,2025-09-16,2024-09-02,00932731,True,False,31
3,Bullen Developments Limited,01005917,,,9-11 Drayton High Road Drayton,DRAYTON,Norwich,Norfolk,United Kingdom,NR8 6AH,Private Limited Company,Active,United Kingdom,,2024-01-01,31,12,2025-09-30,2023-12-31,AUDIT-EXEMPTION-SUBSIDIARY,2017-05-15,2016-04-17,0,0,0,0,43390 - Other building completion and finishing,,,,0,0,http://business.data.gov.uk/id//company/01005917,2024-11-27,BULLEN DEVELOPMENTS LIMITED,1992-01-07,R. G. CARTER DEVELOPMENTS LIMITED,1989-04-14,R.G.CARTER (DEVELOPMENTS) LIMITED,,,,,,,,,,,,,,,2026-05-01,2025-04-17,01005917,True,False,38
4,Bullen Plant Hire Limited,01326345,,,45 Appley Lane North,Appley Bridge,Wigan,,,WN6 9AD,Private Limited Company,Active,United Kingdom,,2023-10-01,30,9,2025-06-30,2023-09-30,SMALL,2016-12-21,2015-11-23,4,1,0,3,77320 - Renting and leasing of construction and civil engineering machinery and equipment,"77390 - Renting and leasing of other machinery, equipment and tangible goods n.e.c.",,,0,0,http://business.data.gov.uk/id//company/01326345,,,,,,,,,,,,,,,,,,,,,2025-12-07,2024-11-23,01326345,True,False,31
5,Bulldog Plantire Limited,01477370,,,45a Acre Road,Kingston-Upon-Thames,Surrey,,,KT2 6ER,Private Limited Company,Liquidation,,,,31,5,,1986-05-31,TOTAL-EXEMPTION-FULL,,,,,0,0,,,,,,,http://business.data.gov.uk/id//company/01477370,1984-01-18,BULLDOG PLANT REPAIR SERVICES LIMITED,,,,,,,,,,,,,2017-02-19,,,,,,2017-02-19,,,True,True,23
6,Airline Services Components Limited,01503647,,,Squire Patton Boggs (Uk) Llp (Ref: Csu) Rutland House,148 Edmund Street,Birmingham,,England,B3 2JR,Private Limited Company,Dissolved,England,,1980-06-24,29,10,2024-07-29,2023-10-31,TOTAL-EXEMPTION-FULL,2016-09-05,2015-08-08,8,3,0,5,52230 - Service activities incidental to air transportation,,,,0,0,http://business.data.gov.uk/id//company/01503647,2006-08-10,AIRLINE SERVICES (DRY CLEANING) LIMITED,1989-02-23,VELGAR LIMITED,,,,,,,,,,,,,,,,,2024-08-22,2024-08-08,01503647,True,False,35
7,Airload Engineering Limited,01542124,,,Unit 8,Pembroke Dock Industrial Estate,Pembroke Dock,Dyfed,,SA72 4RS,Private Limited Company,Liquidation,United Kingdom,,1981-01-28,31,3,1993-01-31,1988-03-31,TOTAL-EXEMPTION-FULL,,1988-08-13,6,6,0,0,None Supplied,,,,0,0,http://business.data.gov.uk/id//company/01542124,,,,,,,,,,,,,,,,,,,,,2017-02-11,,01542124,True,True,29
8,Arkwell Fasteners Limited,01599516,,,Unit 1,Chapel Street,Long Eaton,Nottingham,,NG10 1EQ,Private Limited Company,Active,United Kingdom,,2024-01-01,31,12,2025-09-30,2023-12-31,MICRO-ENTITY,2016-10-31,2015-10-03,1,0,0,1,46900 - Non-specialised wholesale trade,,,,0,0,http://business.data.gov.uk/id//company/01599516,,,,,,,,,,,,,,,,,,,,,2025-10-17,2024-10-03,01599516,True,False,31
9,Arkstore Limited,01610928,,,40 Half Moon Crescent,,London,,England,N1 0TJ,Private Limited Company,Active,England,,2024-07-01,30,6,2026-03-31,2024-06-30,MICRO-ENTITY,2016-09-04,2015-08-07,1,1,0,0,46650 - Wholesale of office furniture,,,,0,0,http://business.data.gov.uk/id//company/01610928,,,,,,,,,,,,,,,,,,,,,2025-08-21,2024-08-07,01610928,True,False,30
